BioSample	isolation_country	collection_year	tag
SAMN03177485	South Korea	2005	patric,ncbi
SAMN03177495	South Korea	2006	patric,ncbi
SAMEA787724	Uganda	2006	patric,ncbi
SAMEA2683063	Peru	2011	patric,ncbi
SAMEA2683102	Peru	2011	patric,ncbi
SAMEA2683108	Peru	2012	patric,ncbi
SAMEA2683126	Peru	2012	patric,ncbi
SAMEA2682737	Peru	2009	patric,ncbi
SAMEA2682774	Peru	2009	patric,ncbi
SAMEA2682843	Peru	2009	patric,ncbi
SAMEA2683013	Peru	2011	patric,ncbi
SAMEA2683053	Peru	2011	patric,ncbi
SAMEA2683071	Peru	2011	patric,ncbi
SAMEA2683111	Peru	2012	patric,ncbi
SAMEA2682946	Peru	2009	patric,ncbi
SAMEA2683022	Peru	2011	patric,ncbi
SAMEA1469508	Russia	2009	patric,ncbi
SAMEA1707230	Russia	2010	patric,ncbi
SAMEA1403840	Russia	2009	patric,ncbi
SAMEA1707134	Russia	2010	patric,ncbi
SAMEA1707390	Russia	2008	patric,ncbi
SAMEA968157	Netherlands	2004	patric,ncbi
SAMEA1706690	Netherlands	1995	patric,ncbi
SAMEA1706695	Netherlands	1998	patric,ncbi
SAMN05916415	Peru	2012	patric,ncbi
SAMEA2707494			patric,ncbi
SAMN03290698	Malaysia	2014	patric,ncbi
SAMEA2682815	Peru	2009	patric,ncbi
SAMEA2683130	Peru	2012	patric,ncbi
SAMEA2683085	Peru	2012	patric,ncbi
SAMEA961641	United Kingdom	2002	patric,ncbi
SAMN03267964	Mexico	2001	patric,ncbi
SAMEA2682780	Peru	2009	patric,ncbi
SAMEA968127	Netherlands	2008	patric,ncbi
SAMN07701799	China	2014	patric,ncbi
SAMEA968204	Netherlands	1995	patric,ncbi
SAMEA968159	South Africa		patric,ncbi
SAMEA2682829	Peru	2009	patric,ncbi
SAMEA2683056	Peru	2011	patric,ncbi
SAMEA2683115	Peru	2012	patric,ncbi
SAMEA2682800	Peru	2009	patric,ncbi
SAMEA968130	Netherlands	1999	patric,ncbi
SAMEA968121	Netherlands	1998	patric,ncbi
SAMEA2682811	Peru	2009	patric,ncbi
SAMN05915285	Peru	2012	patric,ncbi
SAMN05918759	Peru	2012	patric,ncbi
SAMN05918544	Peru	2012	patric,ncbi
SAMN05918741	Peru	2012	patric,ncbi
SAMN05918549	Peru	2012	patric,ncbi
SAMN05916424	Peru	2012	patric,ncbi
SAMN05916427	Peru	2012	patric,ncbi
SAMN05918760	Peru	2012	patric,ncbi
SAMN05916229	Peru	2012	patric,ncbi
SAMN05916217	Peru	2012	patric,ncbi
SAMN05918772	Peru	2012	patric,ncbi
SAMN05915288	Peru	2012	patric,ncbi
SAMN05918552	Peru	2012	patric,ncbi
SAMN05833363	Colombia	2008	patric,ncbi
SAMN05833359	Colombia	2012	patric,ncbi
SAMEA1317625	South Africa		patric,ncbi
SAMEA1317636	South Africa		patric,ncbi
SAMEA1317639	South Africa		patric,ncbi
SAMEA1317651	South Africa		patric,ncbi
SAMEA1523369	South Africa		patric,ncbi
SAMEA1523372	South Africa		patric,ncbi
SAMEA1317617	South Africa		patric,ncbi
SAMEA1317657	South Africa		patric,ncbi
SAMEA1317660	South Africa		patric,ncbi
SAMEA1523388	South Africa		patric,ncbi
SAMEA1523374	Thailand		patric,ncbi
SAMEA1317654	South Africa		patric,ncbi
SAMEA1317674	South Africa		patric,ncbi
SAMEA1317666	South Africa		patric,ncbi
SAMN07664829	Peru	2008	patric,ncbi
SAMN07664846	Peru	2008	patric,ncbi
SAMN07664847	Peru	2008	patric,ncbi
SAMN07664879	Peru	2008	patric,ncbi
SAMN07664867	Peru	2008	patric,ncbi
SAMN07664853	Peru	2008	patric,ncbi
SAMN07664882	Peru	2008	patric,ncbi
SAMN07664857	Peru	2008	patric,ncbi
SAMN03253058			patric,ncbi
SAMEA2682850	Peru	2009	patric,ncbi
SAMEA2682769	Peru	2009	patric,ncbi
SAMEA2682695	Peru	2009	patric,ncbi
SAMEA2683096	Peru	2011	patric,ncbi
SAMEA2682879	Peru	2009	patric,ncbi
SAMEA2682791	Peru	2009	patric,ncbi
SAMEA2682691	Peru	2008	patric,ncbi
SAMEA2682832	Peru	2009	patric,ncbi
SAMEA2682958	Peru	2009	patric,ncbi
SAMEA2682960	Peru	2009	patric,ncbi
SAMEA2682821	Peru	2009	patric,ncbi
SAMEA2682804	Peru	2009	patric,ncbi
SAMEA2682878	Peru	2010	patric,ncbi
SAMEA2682985	Peru	2011	patric,ncbi
SAMEA2682810	Peru		patric,ncbi
SAMN06010213	Peru	2012	patric,ncbi
SAMN06010199	Peru	2012	patric,ncbi
SAMN06010223	Peru	2012	patric,ncbi
SAMN06010242	Peru	2012	patric,ncbi
SAMN06010369	Peru	2012	patric,ncbi
SAMN06010335	Peru	2012	patric,ncbi
SAMN06010351	Peru	2012	patric,ncbi
SAMN06010455	Peru	2012	patric,ncbi
SAMN06010413	Peru	2012	patric,ncbi
SAMN06010475	Peru	2012	patric,ncbi
SAMN06010406	Peru	2012	patric,ncbi
SAMN06010391	Peru	2012	patric,ncbi
SAMN06010384	Peru	2012	patric,ncbi
SAMN06010453	Peru	2012	patric,ncbi
SAMN06010424	Peru	2012	patric,ncbi
SAMN06010469	Peru	2012	patric,ncbi
SAMN06010428	Peru	2012	patric,ncbi
SAMN06010450	Peru	2012	patric,ncbi
SAMN06010437	Peru	2012	patric,ncbi
SAMN06010467	Peru	2012	patric,ncbi
SAMN06010492	Peru	2012	patric,ncbi
SAMN06010229	Peru	2012	patric,ncbi
SAMN06010233	Peru	2012	patric,ncbi
SAMN06010227	Peru	2012	patric,ncbi
SAMN06010212	Peru	2012	patric,ncbi
SAMN06010205	Peru	2012	patric,ncbi
SAMN06010350	Peru	2012	patric,ncbi
SAMN06010366	Peru	2012	patric,ncbi
SAMN06010349	Peru	2012	patric,ncbi
SAMN06010383	Peru	2012	patric,ncbi
SAMN06010401	Peru	2012	patric,ncbi
SAMN06010396	Peru	2012	patric,ncbi
SAMN06010454	Peru	2012	patric,ncbi
SAMN06010421	Peru	2012	patric,ncbi
SAMN06010218	Peru	2012	patric,ncbi
SAMN06010226	Peru	2012	patric,ncbi
SAMN06010248	Peru	2012	patric,ncbi
SAMN06010250	Peru	2012	patric,ncbi
SAMN06010355	Peru	2012	patric,ncbi
SAMN06010416	Peru	2012	patric,ncbi
SAMN06010364	Peru	2012	patric,ncbi
SAMN06010404	Peru	2012	patric,ncbi
SAMN06010470	Peru	2012	patric,ncbi
SAMN06010399	Peru	2012	patric,ncbi
SAMN06010405	Peru	2012	patric,ncbi
SAMN06010409	Peru	2012	patric,ncbi
SAMN06010474	Peru	2012	patric,ncbi
SAMN06010386	Peru	2012	patric,ncbi
SAMN06010320	Peru	2012	patric,ncbi
SAMN06010207	Peru	2012	patric,ncbi
SAMN06010211	Peru	2012	patric,ncbi
SAMN06010180	Peru	2012	patric,ncbi
SAMN06010187	Peru	2012	patric,ncbi
SAMN06010190	Peru	2012	patric,ncbi
SAMN06010203	Peru	2012	patric,ncbi
SAMN06010186	Peru	2012	patric,ncbi
SAMN06010148	Peru	2012	patric,ncbi
SAMN06010146	Peru	2012	patric,ncbi
SAMN06010336	Peru	2012	patric,ncbi
SAMN06010330	Peru	2012	patric,ncbi
SAMN06010176	Peru	2012	patric,ncbi
SAMN06010189	Peru	2012	patric,ncbi
SAMN06010198	Peru	2012	patric,ncbi
SAMN06010197	Peru	2012	patric,ncbi
SAMN06010204	Peru	2012	patric,ncbi
SAMN06010174	Peru	2012	patric,ncbi
SAMN06010178	Peru	2012	patric,ncbi
SAMN06010172	Peru	2012	patric,ncbi
SAMN06010175	Peru	2012	patric,ncbi
SAMN06010161	Peru	2012	patric,ncbi
SAMN06010132	Peru	2012	patric,ncbi
SAMN06010127	Peru	2012	patric,ncbi
SAMN06010343	Peru	2012	patric,ncbi
SAMEA1403971	Russia	2008	patric,ncbi
SAMEA1707164	Russia	2009	patric,ncbi
SAMEA1016091	Russia	2008	patric,ncbi
SAMEA1403619	Russia	2009	patric,ncbi
SAMEA1403624	Russia	2008	patric,ncbi
SAMEA1707375	Russia	2008	patric,ncbi
SAMEA1707512	Russia	2010	patric,ncbi
SAMN05916434	Peru	2012	patric,ncbi
SAMN05916389	Peru	2012	patric,ncbi
SAMN05916246	Peru	2012	patric,ncbi
SAMN05916391	Peru	2012	patric,ncbi
SAMN05916253	Peru	2012	patric,ncbi
SAMN05918680	Peru	2012	patric,ncbi
SAMN05918679	Peru	2012	patric,ncbi
SAMN05916291	Peru	2012	patric,ncbi
SAMN05916239	Peru	2012	patric,ncbi
SAMN05918553	Peru	2012	patric,ncbi
SAMN05916439	Peru	2012	patric,ncbi
SAMN05916248	Peru	2012	patric,ncbi
SAMN05916290	Peru	2012	patric,ncbi
SAMN05916397	Peru	2012	patric,ncbi
SAMN05918640	Peru	2012	patric,ncbi
SAMN05916311	Peru	2012	patric,ncbi
SAMN05916399	Peru	2012	patric,ncbi
SAMN05916436	Peru	2012	patric,ncbi
SAMN05916300	Peru	2012	patric,ncbi
SAMN05916382	Peru	2012	patric,ncbi
