Isolate	AMIKACIN	AMOXICILLIN	CAPREOMYCIN	CIPROFLOXACIN	CYCLOSERINE	ETHAMBUTOL	ETHIONAMIDE	ISONIAZID	KANAMYCIN	MOXIFLOXACIN	OFLOXACIN	PARA_AMINOSALICYLIC_ACID	PROTHIONAMIDE	PYRAZINAMIDE	RIFAMPICIN	STREPTOMYCIN
SAMEA104394653						S		S						R	S	
SAMEA104394654						S		S						S	S	
SAMEA104394655						S		S							S	
SAMEA104394656						S		S							S	
SAMEA104394657						S		S							S	
SAMEA104394658						S		S							S	
SAMEA104394659						S		S							S	
SAMEA104394660						S		S							S	
SAMEA104394661						S		S						S	S	
SAMEA104394662						S		S						S	S	
SAMEA104394663						S		S						S	S	
SAMEA104394664						S		S						S	S	
SAMEA104394665						S		S							S	
SAMEA104394666						S		S							S	
SAMEA104394667						S		S						S	S	
SAMEA104394668						S		S						S	S	
SAMEA104394669						S		S						S	S	
SAMEA104394670						R		R						S	R	
SAMEA104394671						R		R						S	R	
SAMEA104394672						S		S							S	
SAMEA104394673						S		S						S	S	
SAMEA104394674						S		S						S	S	
SAMEA104394676						S		S						S	S	
SAMEA104394677						S		S						S	S	
SAMEA104394678						S		S							S	
SAMEA104394679						S		S							S	
SAMEA104394680						S		S						S	S	
SAMEA104394681						S		S						S	S	
SAMEA104394682						S		S						S	S	
SAMEA104394683						S		S						S	S	
SAMEA104394684						S		S						S	S	
SAMEA104394685						S		S						S	S	
SAMEA104394686						S		S						S	S	
SAMEA104394687						S		S						S	S	
SAMEA104394688						S		S						S	S	
SAMEA104394689						S		S							S	
SAMEA104394690						S		S						S	S	
SAMEA104394691						S		S							S	
SAMEA104394692						S		S							S	
SAMEA104394693						S		S							S	
SAMEA104394694						S		S						S	S	
SAMEA104394695						S		S						S	S	
SAMEA104394696						S		S						S	S	
SAMEA104394697						S		S						S	S	
SAMEA104394698						S		S						S	S	
SAMEA104394699						S		S						S	S	
SAMEA104394700						S		S						S	S	
SAMEA104394701						S		S						S	S	
SAMEA104394702						S		S						S	S	
SAMEA104394703						S		S						S	S	
SAMEA104394704						S		S						S	S	
SAMEA104394705						S		S						S	S	
SAMEA104394706						S		S						S	S	
SAMEA104394707						S		S						S	S	
SAMEA104394708						R		R						R	R	
